ElementID	Dimension	Type Level 1	Type Level 2	Type Level 3	Type Level 4	Definition	Industry	Bildungsweg 1	Bildungsweg 2	Bildungsweg 3	Bildungsweg 4	Bildungsweg 5	Bildungsweg 6	Bildungsweg 7	Bildungsweg 8	Bildungsweg 9	Bildungsweg 10	Source	Connection SwissICT Model
2.1.3.6	Deskriptor	Fertigkeit	Kognitive Fertigkeit	Problemlösungsfähigkeit	Organisieren, Planen und Priorisieren der eigenen Arbeit	Entwicklung von Zielen und Plänen, um die eigene Arbeit zu priorisieren, zu organisieren und zu bewältigen.												https://www.onetonline.org/find/descriptor/result/4.A.2.b.6	
2.1.4	Deskriptor	Fertigkeit	Kognitive Fertigkeit	Numerische Fertigkeiten		Fertigkeiten, die die Lösung von Problemen mit mathematischen Beziehungen beeinflussen													
2.1.4.1	Deskriptor	Fertigkeit	Kognitive Fertigkeit	Numerische Fertigkeiten	Mathematisches Denken	Die richtigen mathematischen Methoden oder Formeln wählen, um ein Problem zu lösen.												https://www.onetonline.org/find/descriptor/result/1.A.1.c.1	
2.1.4.2	Deskriptor	Fertigkeit	Kognitive Fertigkeit	Numerische Fertigkeiten	Zahlenverständnis	Schnell und korrekt addieren, subtrahieren, multiplizieren oder dividieren.												https://www.onetonline.org/find/descriptor/result/1.A.1.c.2	
2.1.5	Deskriptor	Fertigkeit	Kognitive Fertigkeit	Erinnerungsvermögen		Fertigkeiten, die das Abrufen von Informationen beeinflussen													
2.1.5.1	Deskriptor	Fertigkeit	Kognitive Fertigkeit	Erinnerungsvermögen	Merkfähigkeit	Sich Informationen wie Wörter, Zahlen, Bilder und Verfahren merken.												https://www.onetonline.org/find/descriptor/result/1.A.1.d.1	
2.1.6	Deskriptor	Fertigkeit	Kognitive Fertigkeit	Wahrnehmungsfähigkeiten		Fähigkeiten im Zusammenhang mit der Aufnahme und Organisation von visuellen Informationen													
2.1.6.1	Deskriptor	Fertigkeit	Kognitive Fertigkeit	Wahrnehmungsfähigkeiten	Aufnahmefähigkeit	Die Fähigkeit, Informationen schnell zu erfassen, zu kombinieren und zu sinnvollen Mustern zu ordnen.												https://www.onetonline.org/find/descriptor/result/1.A.1.e.1	
2.1.6.2	Deskriptor	Fertigkeit	Kognitive Fertigkeit	Wahrnehmungsfähigkeiten	Mustererkennung	Ein bekanntes Muster (eine Figur, ein Objekt, ein Wort oder ein Geräusch) identifizieren oder erkennen												https://www.onetonline.org/find/descriptor/result/1.A.1.e.2	
2.1.6.3	Deskriptor	Fertigkeit	Kognitive Fertigkeit	Wahrnehmungsfähigkeiten	Vergleichsfähigkeit	Ähnlichkeiten und Unterschiede zwischen Gruppen von Buchstaben, Zahlen, Objekten, Bildern oder Mustern schnell und genau vergleichen. Die zu vergleichenden Dinge können gleichzeitig oder nacheinander präsentiert werden. Diese Fähigkeit umfasst auch den Vergleich eines präsentierten Objekts mit einem erinnerten Objekt.												https://www.onetonline.org/find/descriptor/result/1.A.1.e.3	
2.1.7	Deskriptor	Fertigkeit	Kognitive Fertigkeit	Raumwahrnehmung und -vorstellung		Fertigkeiten im Zusammenhang mit der Verarbeitung und Organisation räumlicher Informationen													
2.1.7.1	Deskriptor	Fertigkeit	Kognitive Fertigkeit	Raumwahrnehmung und -vorstellung	Räumliche Orientierung	Den eigenen Standort in Bezug auf die Umgebung kennen oder wissen, wo sich andere Objekte im Verhältnis zu einem selbst befinden.												https://www.onetonline.org/find/descriptor/result/1.A.1.f.1	
2.1.7.2	Deskriptor	Fertigkeit	Kognitive Fertigkeit	Raumwahrnehmung und -vorstellung	Räumliches Vorstellungsvermögen	Sich vorstellen, wie etwas aussieht, wenn es bewegt wird oder wenn seine Teile verschoben oder neu angeordnet werden.												https://www.onetonline.org/find/descriptor/result/1.A.1.f.2	
2.1.8	Deskriptor	Fertigkeit	Kognitive Fertigkeit	Aufmerksamkeit		Fertigkeiten im Zusammenhang mit der Steuerung der eigenen Aufmerksamkeit													
2.1.8.1	Deskriptor	Fertigkeit	Kognitive Fertigkeit	Aufmerksamkeit	Konzentrationsfähigkeit	Sich über einen bestimmten Zeitraum hinweg auf eine Aufgabe konzentrieren, ohne sich ablenken zu lassen.												https://www.onetonline.org/find/descriptor/result/1.A.1.g.1	
2.1.8.2	Deskriptor	Fertigkeit	Kognitive Fertigkeit	Aufmerksamkeit	Fokuswechsel	Zwischen zwei oder mehreren Aktivitäten oder Informationsquellen (z. B. Sprache, Geräusche, Berührungen oder andere Quellen) hin und her wechseln.												https://www.onetonline.org/find/descriptor/result/1.A.1.g.2	
