ElementID	Dimension	Type Level 1	Type Level 2	Type Level 3	Type Level 4	Definition	Industry	Bildungsweg 1	Bildungsweg 2	Bildungsweg 3	Bildungsweg 4	Bildungsweg 5	Bildungsweg 6	Bildungsweg 7	Bildungsweg 8	Bildungsweg 9	Bildungsweg 10	Source	Connection SwissICT Model
1	knowledge			Finanzprodukte		Verschiedene Arten von Instrumenten, die für die Verwaltung von auf dem Markt verfügbaren Finanzflüsse gelten, wie Aktien, Anleihen, Optionen oder Fonds.												http://data.europa.eu/esco/skill/0bd4c62a-c309-467e-be76-8403b3f3a1a8	
1	knowledge			Neurochirurgie		Ein in der EU-Richtlinie 2005/36/EG genanntes medizinisches Fachgebiet.												http://data.europa.eu/esco/skill/0bdf0aad-cde4-4885-a2a4-af3e28cc9557	
1	knowledge			Gesenkschmiedeverfahren		Prozesse im Zusammenhang mit dem Schmiedeverfahren des Gesenkschmiedens, z. B. Rohrschmieden und Rotationsgesenkschmieden.												http://data.europa.eu/esco/skill/0be7c835-a562-416f-8c35-67abd0995b4d	
1	knowledge			Verkaufsargumentation		Verkaufstechniken und -methoden, die verwendet werden, um Kunden ein Produkt oder eine Dienstleistung überzeugend zu präsentieren und um ihre Erwartungen und Bedürfnisse zu erfüllen.												http://data.europa.eu/esco/skill/0c0488b3-fca5-4deb-865b-8dc605c3d909	
1	knowledge			"augenärztliche Untersuchungsmethoden ophthalmologische Untersuchungsmethoden
Untersuchungsmethoden in der Augenheilkunde
Methoden der Augenuntersuchung
Untersuchungsmethoden der Ophthalmologie"		Techniken und Methoden, die angewandt werden, um das Sehvermögen von Patienten zu untersuchen und entsprechende Messungen vorzunehmen.												http://data.europa.eu/esco/skill/0c04d550-a4bb-439d-9333-2d5ef7a08d9a	
1	knowledge			Wellengrößen		Wellengrößen bezieht sich auf die Anzahl der Wellen auf einer bestimmten Länge und auf die Dicke. Bei den Wellen handelt es sich um die Bögen auf einer Wellpappeschachtel, die die Struktur von Wellpappe bilden und ihr Festigkeit und Stärke verleihen.												http://data.europa.eu/esco/skill/0c26b755-d60c-4efc-96ff-7767160fba06	
1	knowledge			kulturelle Gepflogenheiten bei der Nahrungszubereitung kulturelle Traditionen bei der Nahrungszubereitung		Kulturelle oder religiöse Regeln und Traditionen in Bezug auf die Zubereitung von Lebensmitteln.												http://data.europa.eu/esco/skill/0c4ab800-2daf-4feb-b34e-4e86a2eff2ce	
1	knowledge			statistische Prozessüberwachung statistische Prozesskontrolle		Methode der Qualitätskontrolle, bei der Statistiken zur Überwachung der Prozesse eingesetzt werden.												http://data.europa.eu/esco/skill/0c77bcd5-b94a-475d-98e9-5a4327e4d726	
1	knowledge			Rage (Videospielerstellungssysteme)		Software-Framework, das sich aus integrierten Entwicklungsumgebungen und speziellen Entwicklungswerkzeugen für die rasche Iteration von von Nutzern abgeleiteten Computerspielen zusammensetzt.												http://data.europa.eu/esco/skill/0c9f20cb-32fb-4ff7-877e-508762791151	
1	knowledge			Verdichtungsverfahren		Bereich der Informationen, der aus einer Vielzahl von Techniken zur Verteilung von Asphalt auf Straßen besteht. Jede Technik wird durch das Konzept der Asphaltmischung und die verwendete Pflastertechnik bestimmt. Diese wird durch das Rollen und die Verteilung der Masse bestimmt.												http://data.europa.eu/esco/skill/0ca56d28-7453-493a-ae67-b4f37349d5e9	
1	knowledge			"Ruby (Computerprogrammierung) Ruby-gnome2
Ruby lang
Ruby prog"		Techniken und Grundsätze der Softwareentwicklung, wie Analyse, Algorithmen, Programmierung, Testen und Kompilieren von Programmierparadigmen in Ruby.												http://data.europa.eu/esco/skill/0ccdfe98-f845-4598-84a1-3dca66e9d9a3	
1	knowledge			Verfahrensrecht		Recht, das die Verfahrensordnung bei Gericht sowie die Regeln für Zivil- und Strafverfahren umfasst.												http://data.europa.eu/esco/skill/0cd07ad3-642c-4073-812f-3842dffcd920	
1	knowledge			Common Lisp		Techniken und Grundsätze der Softwareentwicklung, wie Analyse, Algorithmen, Programmierung, Testen und Kompilieren von Programmierparadigmen in Common Lisp.												http://data.europa.eu/esco/skill/0cd6dcf1-5778-42a5-b685-4d01ae4a4871	
1	knowledge			internationale Vorschriften für den Frachtumschlag		Korpus von Übereinkommen, Leitlinien und Vorschriften, die die Tätigkeit des Verladens und Entladens von Fracht in internationalen Häfen vorschreiben.												http://data.europa.eu/esco/skill/0cf27a00-947f-473d-af1a-24028c17ba27	
1	knowledge			Marketingplanung im Bereich Schuhwerk und Lederwaren		Grundsätze und Methoden zur Erstellung eines Marketingplans, und zur Unterstützung bei der Frage, wie sich ein Unternehmen gegenüber seinen Wettbewerbern am besten positionieren kann, wobei die Besonderheiten des Marktes für Schuhwerk und Lederwaren berücksichtigt werden. 												http://data.europa.eu/esco/skill/0cf4c414-891e-4030-a3c3-898643bf20fc	
1	knowledge			mit Akupunktur behandelte Erkrankungen mit Akupunktur behandelte Krankheitsbilder		Arten und Spektrum der Beschwerden, die mit Akupunktur behandelt werden, wie körperlicher Schmerz, Kopfschmerzen, Rückenschmerzen, Allergien, Suchterkrankungen, Verdauungsprobleme oder Kältestörungen.												http://data.europa.eu/esco/skill/0cfcc95d-9f60-481b-8f53-f11d0f53f06b	
1	knowledge			Arten von Dämmstoffen Arten von Isolierungsmaterialien		Verschiedene Arten von Dämmstoffen und deren Anwendungsfälle, Vorteile, Risiken und Kosten.												http://data.europa.eu/esco/skill/0d0fe364-462d-48dd-b54b-e972e2bdecb1	
1	knowledge			Apache Maven		Softwareprogramm zur Konfigurationsidentifizierung, Kontrolle, Konfigurationsstatus-Berichterstattung und Softwareprüfung bei der Entwicklung und Wartung.												http://data.europa.eu/esco/skill/0d168770-4d9c-4096-b048-a6577818d306	
1	knowledge			Edelmetalle		Seltene Metalle, die natürlich vorkommen und einen hohen wirtschaftlichen Wert haben.												http://data.europa.eu/esco/skill/0d254d2f-f6c7-49ac-be0d-a2651c222f7a	
1	knowledge			Risikotransfer Risikoübertragung		Finanztechniken, die darauf abzielen, die finanzielle Belastung eines Unternehmens zu vermeiden und es stattdessen bei seinen Tätigkeiten zu schützen. Es handelt sich um die Übertragung von Verbindlichkeiten und Forderungen an Dritte, die über die Finanzkraft verfügen und sich auf die Bündelung und Steuerung von Risiken spezialisiert haben.												http://data.europa.eu/esco/skill/0d564cb6-98ef-4c18-9392-dd69e6724cbf	
1	knowledge			Schiffsbetriebstechnik		"Die Ingenieurswissenschaft, die sich mit der Planung, dem Betrieb und der Instandhaltung von Antriebs- und Bordsystemen von Wasserfahrzeugen befasst. Sie befasst sich auch mit dem Entwurf und der Konstruktion von festen und schwimmenden Meeresstrukturen, wie Ölplattformen und Offshore-Windparks, was allgemein als Offshore-Technik bezeichnet wird.
	"												http://data.europa.eu/esco/skill/0d73a5c0-7f95-4ede-92f3-eac434a970a9	
1	knowledge			Theorien der Sozialarbeit		Entwicklung und Merkmale von Theorien der Sozialarbeit, die auf den Sozial- und Geisteswissenschaften beruhen.												http://data.europa.eu/esco/skill/0d9c959a-cdd4-41f7-aa82-5e2e25b27e3f	
1	knowledge			IKT-Netzwerk-Routing		Verfahren und Techniken für die Wahl der besten Wege innerhalb eines IKT-Netzwerks, über den ein Paket versendet werden kann.												http://data.europa.eu/esco/skill/0da6cab1-0ee9-4391-a299-f71fbf21db56	
1	knowledge			"Richtlinien des internen Risikomanagements Handlungsweisen beim internen Risikomanagment
Vorgehensweisen beim internen Risikomanagement
interne Richtlinien des Risikomanagements
Verfahrensweisen beim internen Risikomanagement
Methoden des internen Risikomanagements
Richtlinie des internen Risikomanagements"		Richtlinien des internen Risikomanagements, mit denen Risiken in einem IT-Umfeld ermittelt, bewertet und priorisiert werden. Methoden, die zur Minimierung, Überwachung und Kontrolle der Möglichkeit und der Auswirkungen verheerender Ereignisse verwendet werden, die Auswirkungen auf das Erreichen von Geschäftszielen haben.												http://data.europa.eu/esco/skill/0daaf096-1639-461c-bf1a-bbeea77e6b67	
1	knowledge			geografische Gebiete		Genaue Kenntnis des geografischen Gebiets; Kenntnis darüber, wo verschiedene Organisationen tätig sind.												http://data.europa.eu/esco/skill/0db1a833-e4b7-4cae-9c6f-ddcdd4326e85	
1	knowledge			Materialien in der Steinzeugherstellung		Merkmale und Eigenschaften der verschiedenen Materialien, die bei der Herstellung von Glaskeramik aus Steinzeugton oder in manchen Fällen aus Feuerton verwendet werden.												http://data.europa.eu/esco/skill/0dd812f3-d012-435a-9c2a-09a9bc82e6bc	
1	knowledge			Lisp		Techniken und Grundsätze der Softwareentwicklung, wie Analyse, Algorithmen, Programmierung, Testen und Kompilieren von Programmierparadigmen in Lisp.												http://data.europa.eu/esco/skill/0de61385-de6d-4146-ba32-1cc1bc102220	
1	knowledge			Besonderheiten der zur Versteigerung verfügbaren Artikel		Art der zu versteigernden Artikel, wie Lagerüberbestand an Möbeln, Immobilien, Vieh usw.												http://data.europa.eu/esco/skill/0e0eec3f-0a8b-4cfe-b86d-925bde288bc4	
1	knowledge			Arten von Steinen im Bauwesen Arten von Wandbekleidungen aus Papier		Verschiedene Arten von Steinen, die Steinmetze und andere Steinarbeiter bei der Herstellung von Baustoffen verwenden. Die mechanischen Eigenschaften von Stein, wie Gewicht, Zugfestigkeit, Haltbarkeit. Wirtschaftliche Eigenschaften, wie Kosten, Transport und Beschaffung.												http://data.europa.eu/esco/skill/0e13adb5-f135-429b-94c3-24cc1cf1b1ac	
1	knowledge			Geschichte der Theologie Theologiegeschichte		Untersuchung der Entwicklung und Herausbildung der Theologie im geschichtlichen Verlauf.												http://data.europa.eu/esco/skill/0e31da4d-591b-46c6-b89f-ff1812c1f67b	
1	knowledge			Finnisch		Finnische Sprache. Finnisch ist Amts- und Arbeitssprache der EU.												http://data.europa.eu/esco/skill/0e3493f4-0cad-4fbc-8e02-025f169b8114	
1	knowledge			"Computerspiel-Genres Genres von Computerspielen
Mechanismen von Computerspielen
Mechanismen von digitalen Spielen
Interaktionsformen bei Computerspielen
Computerspiel-Genre
Genres von digitalen Spielen"		Einordnung von Videospielen auf der Grundlage ihrer Interaktion mit den Spielmedien, z. B. Simulationsspiele, Strategiespiele, Abenteuerspiele und Arcade-Spiele.												http://data.europa.eu/esco/skill/0e361e34-c563-4892-b9d3-873a6a4fef8a	
1	knowledge			assistive Technologie im Bildungswesen		"Digitale Geräte und Ausrüstungen, die Lernende mit Lern-, Kommunikations- oder Mobilitätsproblemen dabei unterstützen, Zugang zu Bildungsressourcen zu erhalten und ihr Potenzial voll auszuschöpfen. Dies umfasst Software wie Text-zu-Sprache-Programme und optische Zeichenerkennung.
   "												http://data.europa.eu/esco/skill/0e62eba3-d076-47e5-b22d-340a8faccb3b	
1	knowledge			Green IT		Nutzung von IKT-Systemen auf umweltverträgliche und nachhaltige Weise, z. B. durch die Einführung energieeffizienter Server und Prozessoren (CPUs), die Verringerung der Ressourcen und die korrekte Entsorgung von Elektronikabfällen.												http://data.europa.eu/esco/skill/0e78d9c9-7c3c-4c5c-82cb-205c16edbcb8	
1	knowledge			"Anatomie des Bewegungsapparates muskuloskeletale Anatomie
Anatomie des Muskel- und Knochenbaus"		Menschlicher Bewegungsapparat, bestehend aus Skelett, Muskeln, Knorpeln, Sehnen, Gelenken und anderem Bindegewebe, das Gewebe und Organe unterstützt und zusammenhält. Die primären Funktionen des Bewegungsapparates, wie die Unterstützung des Körpers, das Ermöglichen von Bewegung und der Schutz lebenswichtiger Organe.												http://data.europa.eu/esco/skill/0e7f7009-6633-47a0-ab39-b04e9436daef	
1	knowledge			Gebäudeüberwachungstechnik		Computergestützte Kontrollsysteme zur Überwachung von mechanischen und elektrischen Geräten in einem Gebäude, wie Heizung, Lüftung und Klimatechnik sowie Sicherheits- und Beleuchtungssysteme.												http://data.europa.eu/esco/skill/0e8d16c9-e2db-4862-ac06-1567f01ef806	
1	knowledge			elektronische Testverfahren elektronische Prüfverfahren		Testprotokolle, die eine Vielzahl von Analysen elektronischer Systeme, Produkte und Komponenten ermöglichen. Diese Tests umfassen die Prüfung elektrischer Eigenschaften, wie Spannung, Strom, Widerstand, Kapazität und Induktivität sowie die Prüfung spezifischer elektronischer Bauteile, wie Elektronenröhren, Halbleiter, integrierter Schaltkreise und Batterien. Diese Prüfungen umfassen Sichtkontrollen, Leistungsprüfungen, Umweltprüfungen und Sicherheitsprüfungen.												http://data.europa.eu/esco/skill/0e9e3a56-3b26-4fa5-91df-6d9bfbea4259	
1	knowledge			psychiatrische Diagnostik		In der Psychiatrie angewandte Diagnostiksysteme und Skalen zur Bestimmung der Art der psychischen Störung bei Erwachsenen, Kindern und älteren Menschen.												http://data.europa.eu/esco/skill/0eb3807c-acdf-47fe-8853-32a29c7bba27	
1	knowledge			Parasitologie		Mikrobiologisches Feld, das Parasiten, ihre Bildung und ihre Wirte untersucht.												http://data.europa.eu/esco/skill/0ebcef42-ad74-438d-b435-87fd734b4d72	
1	knowledge			Techniken zur Ermittlung von Geschäftsanforderungen		Erforderliche Verfahren zur Ermittlung und Analyse der geschäftlichen und organisatorischen Anforderungen.												http://data.europa.eu/esco/skill/0ee94c0a-3716-494a-95a2-dcbab9e58be2	
1	knowledge			Palettentypen		Struktur, Eigenschaften und Verwendung der beiden Hauptarten von Paletten: GMA-Paletten und Europaletten.												http://data.europa.eu/esco/skill/0ef924c5-1ecb-4f94-b059-7516756a55ff	
1	knowledge			Informatica PowerCenter		Vom Softwareunternehmen Informatica entwickeltes Computerprogramm für die Integration von Informationen aus mehreren Anwendungen, die von Unternehmen erstellt und gepflegt werden, in eine konsistente und transparente Datenstruktur.												http://data.europa.eu/esco/skill/0f00f63f-3ab4-4057-b92f-500584b51757	
1	knowledge			Gleisbautechnik		Gründliche Kenntnis der Gleisbautechnik; Verständnis der Sicherheitsanforderungen und der damit verbundenen Sicherheitsstandards und -verfahren, um sicherzustellen, dass mit Designs optimal auf Baubarkeit und Wartungsfreundlichkeit ausgerichtet sind.												http://data.europa.eu/esco/skill/0f040ee7-075c-4986-9a6c-d20f846d69d6	
1	knowledge			Prototypentwicklung in der Bekleidungsindustrie Prototypentwicklung in der Bekleidungsbranche		Wichtigste Grundsätze der Prototypentwicklung für die Herstellung von Bekleidung und konfektionierten Textilien: Größen, Körpermaße, Spezifikation und Verhalten von Stoffen nach dem Schneiden.												http://data.europa.eu/esco/skill/0f16809e-a1a4-46a4-ae8e-058f5d0d358a	
1	knowledge			Schleifbewegungen		Die verschiedenen Prozesse oder Bewegungen, die beim Polieren verwendet werden, je nach dem gewünschten Endergebnis in Bezug auf die Glättung und den Glanz des Metallwerkstücks: matt oder glänzend.												http://data.europa.eu/esco/skill/0f2cb38a-6e97-4f49-80f7-1da9e5835ed0	
1	knowledge			Vorschriften für Tiertransporte		Rechtliche Anforderungen in Bezug auf einen sicheren und effizienten Tiertransport.												http://data.europa.eu/esco/skill/0f4c6e98-2eea-4e45-931d-c20a27f8f327	
1	knowledge			Mensch-Roboter-Kollaboration		"Die Mensch-Roboter-Kollaboration befasst sich mit kollaborativen Prozessen, bei denen Menschen und Roboter zusammenarbeiten, um gemeinsame Ziele zu erreichen. Sie ist ein interdisziplinäres Forschungsgebiet, das klassische Robotik, Mensch-Computer-Interaktion, künstliche Intelligenz, Design, Kognitionswissenschaften und Psychologie umfasst. Es geht um die Definition von Plänen und Regeln für die Kommunikation, um eine Aufgabe zu erfüllen und ein Ziel in einer gemeinsamen Aktion mit einem Roboter zu erreichen.
	"												http://data.europa.eu/esco/skill/0f5374e3-0b9b-4b16-af7a-49654ce0bb15	
1	knowledge			Klempnerwerkzeuge Sanitärwerkzeuge		Vielfältige gewöhnliche Klempnerwerkzeuge und ihre Anwendungsfälle, -einschränkungen und -risiken.												http://data.europa.eu/esco/skill/0f58f88f-d46d-45d7-b0a1-46364e5f7013	
1	knowledge			Arbeitsmedizin		Ein in der EU-Richtlinie 2005/36/EG genanntes medizinisches Fachgebiet.												http://data.europa.eu/esco/skill/0f69d0b1-b2a4-4e38-8281-cba49b718303	
1	knowledge			Metall- und Metallerzeugnisse		Angebotene Metall- und Metallerzeugnisse, ihre Funktionen, Eigenschaften sowie die rechtlichen und regulatorischen Auflagen.												http://data.europa.eu/esco/skill/0f850624-ae28-47c2-ab80-484290a96aea	
1	knowledge			Verfahren der Holzbearbeitung Prozesse der Holzbearbeitung		Schritte bei der Verarbeitung von Holz zur Herstellung von Holzartikeln und Arten von Maschinen, die für diese Verfahren eingesetzt werden, wie Trocknung, Formung, Zusammenbau und Oberflächenbearbeitung.												http://data.europa.eu/esco/skill/0f9098d1-9bcd-453c-a9ec-e8b635705976	
1	knowledge			systemorientiertes Denken		Integrierter Ansatz, um zu verstehen, wie verschiedene Bestandteile eines Systems innerhalb eines ganzen Logistiksystems voneinander abhängen, interagieren und sich beeinflussen.												http://data.europa.eu/esco/skill/0f9958d2-f700-4f62-b90b-a5873cb5ae4c	
1	knowledge			mit verschiedenen Flugnavigationsbereichen verbundene Verfahren		Kenntnis einschlägiger Informationen über verschiedene Flugnavigationsbereiche, einschließlich der Verfügbarkeit von Flugnavigationseinrichtungen und -diensten und der damit verbundenen Verfahren sowie allgemeine Flugnavigationsverfahren.												http://data.europa.eu/esco/skill/0f997f18-7304-4f0c-b0f0-6468f953d52d	
1	knowledge			Ausrüstung für den Reitsport Ausrüstung für den Pferdesport		Ausrüstung, die für das Reiten von Pferden verwendet wird, z. B. Sattel oder Steigbügel.												http://data.europa.eu/esco/skill/0faefe0b-17d1-4fa7-87ee-3c21096765c0	
1	knowledge			Arten pflanzlicher Stoffe Pflanzenarten		Prinzipien pflanzlicher Stoffe mit Schwerpunkt auf krautigen und einjährigen Pflanzen in Rohform.												http://data.europa.eu/esco/skill/0fb63e16-f674-4b96-9954-b9d63b666650	
1	knowledge			Apache Tomcat		Der Open-Source-Webserver Apache Tomcat bietet ein Java-Webserver-Umgebung, die einen eingebauten Container verwendet, in den HTTP-Requests geladen werden, so dass die Java-Web-Anwendungen auf lokalen und auf serverbasierten Systemen ausgeführt werden können.												http://data.europa.eu/esco/skill/0fb753a1-2ef2-4429-84d2-ecb2b24daf7a	
1	knowledge			Wasserströmungen		Verständnis der Auswirkungen von Wasserströmungen auf Fischzuchtbetriebe in Käfigen, Teichen, Lagunen und Flüssen.												http://data.europa.eu/esco/skill/0fc46898-7875-4e60-93a6-fcc7f2c11579	
1	knowledge			Beratungsmethoden		Beratungsmethoden, die in unterschiedlichen Kontexten und mit verschiedenen Gruppen und Einzelpersonen eingesetzt werden, insbesondere in Bezug auf die Methoden der Supervision und Mediation im Beratungsprozess.												http://data.europa.eu/esco/skill/0ffed47f-d320-48cf-988d-40449825085c	
1	knowledge			UI-Software-Entwurfsmuster		Wiederverwendbare Lösungen und formalisierte Best Practices zur Lösung gemeinsamer Aufgaben in Bezug auf eine Benutzerschnittstelle bei der Softwareentwicklung und -gestaltung.												http://data.europa.eu/esco/skill/1019423b-3368-4f83-b24f-19e5fa23e816	
1	knowledge			Kindsgeburt		Vorgang der Entbindung eines Kindes, Symptome und Anzeichen von Wehen, das Herauspressen des Kindes und alle damit verbundenen Schritte und Verfahren, einschließlich derer im Zusammenhang mit Komplikationen und Frühgeburten.												http://data.europa.eu/esco/skill/103770db-5ed7-4208-ac72-cf174dd677e9	
1	knowledge			Komplementär- und Alternativmedizin komplementäre und alternative Medizin		Medizinische Verfahren, die nicht Teil der Standardversorgung im Gesundheitswesen sind.												http://data.europa.eu/esco/skill/104f5817-978e-419a-a32b-5b5ccfc0f3bb	
1	knowledge			Balneotherapie		Einsatz therapeutischer Bäder zur Behandlung verschiedener Erkrankungen durch Entspannungs-, Massage- oder Stimulationstechniken. Dies schließt die wohltuenden Eigenschaften von Heilwasser und Schlammpackungen ein.												http://data.europa.eu/esco/skill/10643a25-303a-46fb-bc8e-2acb9d4e7a7d	
1	knowledge			Energieumwandlung		Prozesse, die Energie bei der Veränderung ihrer Form von einem Zustand in einen anderen durchläuft.												http://data.europa.eu/esco/skill/106b9659-4b9a-4ce2-8d16-80add5bf81b0	
1	knowledge			Reprografie Reprographie		Prozess des Reproduzierens, des erneuten Drucks oder des Kopierens von grafischem Material, insbesondere mit mechanischen oder elektronischen Mitteln, wie Fotografie oder Elektrofotografie.												http://data.europa.eu/esco/skill/10c42c72-ecaa-414c-a014-7e97fcecae8d	
1	knowledge			biologische Medizin		Studie des menschlichen Körpers in Bezug auf die Medizin und die Umwelt. Dazu gehören auch die Anwendungen und Verfahren im Bereich der Biologie und Naturwissenschaften.												http://data.europa.eu/esco/skill/10f08e82-ee2f-4790-a43d-5fd3f9b8a392	
1	knowledge			soziale Bündnisse		"Die Schaffung von Partnerschaften zwischen verschiedenen Akteuren (Unternehmen, gemeinnützigen Organisationen oder Organisationen des öffentlichen Sektors), durch die sie Ressourcen und Wissen für eine gemeinsame Sache teilen: in der Regel zur Lösung eines sozialen oder umweltbezogenen Problems.
   "												http://data.europa.eu/esco/skill/10ff3d22-1f29-48bc-98e4-63fc61c78034	
1	knowledge			Sass		Die Computersprache Sass ist eine Stylesheet-Sprache, die das Erscheinungsbild strukturierter Dokumente festlegt. Diese Dokumente müssen die stilistischen Elemente (Schriftart, Farbe und Layout) aus den Stylesheet-Vorlagen übernehmen.												http://data.europa.eu/esco/skill/1110c92f-3059-445a-9436-0f4200d365f5	
1	knowledge			Dermatologie Medizin der Hautkrankheiten		Ein in der EU-Richtlinie 2005/36/EG genanntes medizinisches Fachgebiet.												http://data.europa.eu/esco/skill/11190c86-bf63-4d98-be9a-fbee97c9f93a	
1	knowledge			Audiometrie		Messung der Hörschärfe, insbesondere im Hinblick auf die Lautstärke, Tonhöhe und Klangreinheit, um Hörstörungen und damit zusammenhängende Erkrankungen zu diagnostizieren.												http://data.europa.eu/esco/skill/112a2d79-fff0-4b9b-92e9-7fe40cd6104b	
1	knowledge			biologische Hämatologie		Ein in der EU-Richtlinie 2005/36/EG genanntes medizinisches Fachgebiet.												http://data.europa.eu/esco/skill/11335fcc-23af-4afe-bfaf-c0c25abcb5b0	
1	knowledge			Hardwareplattformen		Merkmale der Hardwarekonfiguration, die für die Verarbeitung eines Produkts einer Anwendungssoftware erforderlich ist.												http://data.europa.eu/esco/skill/117373c8-f04b-4fff-8683-aebe36edac81	
1	knowledge			Qualitätssicherungsverfahren		Verfahren zur Kontrolle eines Produkts oder Systems, um sicherzustellen, dass es den Spezifikationen und Anforderungen entspricht.												http://data.europa.eu/esco/skill/1177c6f5-09c5-4c35-873c-afd22d170ad3	
1	knowledge			IT-Forensik		Verfahren zur Prüfung und Wiederherstellung digitaler Daten aus Quellen für rechtliche Beweismittel und kriminalpolizeiliche Ermittlungen.												http://data.europa.eu/esco/skill/118a9b27-1c5a-4214-b685-1a4d9e6365ea	
1	knowledge			Politische Parteien		Ideen und Grundsätze, für die politische Parteien stehen, und die Politiker, die sie vertreten.												http://data.europa.eu/esco/skill/119acb15-fff5-4475-80fe-d7de24023909	
1	knowledge			internationaler Handel		Wirtschaftliche Praxis und Studien, die sich mit dem Austausch von Waren und Dienstleistungen über geografische Grenzen hinweg befassen. Die allgemeinen Theorien und Denkrichtungen zu den Auswirkungen des internationalen Handels im Hinblick auf die Ausfuhren, die Einfuhren, die Wettbewerbsfähigkeit, das BIP und die Rolle multinationaler Unternehmen.												http://data.europa.eu/esco/skill/11cbcf7f-8dc3-4c9a-9ec1-37f51b5cbc19	
1	knowledge			Blutspende		Verfahren für die Sammlung von Blutproben von Freiwilligen, die Untersuchung auf Krankheiten und die Folgemaßnahmen.												http://data.europa.eu/esco/skill/11e2378a-ccc0-45a5-993c-23eb65f9e1ce	
1	knowledge			Strategie für Informationssicherheit		Plan, der von einem Unternehmen festgelegt wurde, in dem die Ziele und Maßnahmen im Bereich der Informationssicherheit definiert sind, um Risiken zu mindern, Kontrollziele aufzustellen, Parameter und Bezugspunkte festzulegen und gleichzeitig die rechtlichen, internen und vertraglichen Anforderungen einzuhalten.												http://data.europa.eu/esco/skill/11eebd42-44ab-401d-8a2c-bdb9fc9beb50	
1	knowledge			Medizin		Arzneimittel, ihre Nomenklatur und die Substanzen, die bei der Herstellung von Arzneimitteln verwendet werden.												http://data.europa.eu/esco/skill/1236128d-9bb4-4d94-bc1e-40fd14824280	
1	knowledge			Rechtsvorschriften zu tierischen Erzeugnissen		Geltende Rechtsvorschriften für Temperatur, Abfallmaterial, Rückverfolgbarkeit, Kennzeichnung, Handel und Transport von tierischen Erzeugnissen. 												http://data.europa.eu/esco/skill/1289bd81-8daf-4e7c-bb46-6bbfe9141c49	
1	knowledge			radioaktive Kontamination radioaktive Verseuchung		Verschiedene Ursachen für das Vorhandensein radioaktiver Stoffe in Flüssigkeiten, festen Stoffen oder Gasen oder auf Oberflächen sowie die Art und Weise, die Arten von Schadstoffen, ihre Risiken und die Schadstoffkonzentration zu ermitteln.												http://data.europa.eu/esco/skill/12adba20-07ba-40af-ad41-48f730af3851	
1	knowledge			Herstellungsverfahren		Materialien und Techniken, die für Produktions- und Vertriebsprozesse erforderlich sind.												http://data.europa.eu/esco/skill/12c7b323-d870-4f5b-9d7d-d9f525206d77	
1	knowledge			"Software für optische Zeichenerkennung Texterkennungs-Programm
Texterkennungssoftware
Software für die optische Zeichenerkennung
Softwares für optische Zeichenerkennung
OCR-Software Microsoft Office OneNote 2007
AnyDoc Software
ExperVision TypeReader & RTK
Dynamsoft OCR SDK
Tesseract
MeOCR
SimpleOCR
LEADTOOLS
OCRopus
ReadSoft
Asprise OCRSDK
Puma.NET
OCRFeeder
MathOCR
FreeOCR
GOCR
Scantron
(a9t9) FreeOCR
SmartScore
CuneiForm
Nicomsoft OCR SDK
Microsoft Office Document Imaging
Ocrad"		Software, die gedruckte und getippte Bilder elektronisch in einen maschinenlesbaren Text umwandelt, damit Dokumente elektronisch gespeichert, bearbeitet und digital dargestellt werden können.												http://data.europa.eu/esco/skill/12c82224-6394-4c3c-9831-2a8198ed1274	
1	knowledge			"Dolmetscharten Modi des Dolmetschens
Dolmetschmodi"		Verschiedene Möglichkeiten, eine Sprache mündlich zu übersetzen, z. B. Simultan-, Konsekutiv-, Relais-, Flüster- oder Verhandlungsdolmetschen.												http://data.europa.eu/esco/skill/12d1d724-b832-4193-823f-c6ff0deedec1	
1	knowledge			Gefahrguttransport		Vorschriften und Sicherheitsverfahren für den Transport gefährlicher Materialien und Produkte, z. B. gefährlicher Abfälle, Chemikalien, Sprengstoffe und brennbarer Stoffe.												http://data.europa.eu/esco/skill/12d7ea6f-ec1f-4f9a-a50b-8e2e9693f068	
1	knowledge			"Mund-, Kiefer- und Gesichtschirurgie MKG-chirurgie
mund-kiefer-gesichtschirurgie
mund-kiefer-gesichts-, mund-, und zahnchirurgie"		Ein in der EU-Richtlinie 2005/36/EG genanntes medizinisches Fachgebiet.												http://data.europa.eu/esco/skill/1334fb4f-8554-417b-be8e-93bdec4be6f1	
1	knowledge			Patente		Ausschließliche Rechte, die ein souveräner Staat der Erfindung eines Erfinders für einen begrenzten Zeitraum im Austausch für die öffentliche Bekanntgabe der Erfindung gewährt.												http://data.europa.eu/esco/skill/1349751e-dfb5-492e-89af-e7d9bd2546ac	
1	knowledge			Lernbedarfsanalyse		Prozess der Analyse des Lernbedarfs eines Lernenden durch Beobachtung und Erprobung, möglicherweise gefolgt von der Diagnose einer Lernstörung und einem Plan für zusätzliche Unterstützung.												http://data.europa.eu/esco/skill/135192cb-84e4-4b70-8946-fbe5041b26cd	
1	knowledge			Partikelanimation		Animationsverfahren, bei dem eine große Zahl grafischer Objekte verwendet wird, um Phänomene wie Flammen und Explosionen sowie „unscharfe Phänomene“ zu simulieren, die sich mit konventionellen Darstellungsmethoden nur schwer wiederholen lassen.												http://data.europa.eu/esco/skill/13666d7d-41a8-42b6-80ba-34ea6a64667f	
